100 100
Tempo: 3(ms)
Tempo: 2(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 2(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 5(ms)
Tempo: 2(ms)
Tempo: 4(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 4(ms)
Tempo: 2(ms)
Tempo: 2(ms)
Tempo: 8(ms)
Tempo: 2(ms)
Tempo: 2(ms)
Tempo: 16(ms)
Tempo: 2(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 2(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 2(ms)
Tempo: 4(ms)
Tempo: 4(ms)
Tempo: 3(ms)
Tempo: 2(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 4(ms)
Tempo: 3(ms)
Tempo: 4(ms)
Tempo: 3(ms)
Tempo: 2(ms)
Tempo: 4(ms)
Tempo: 5(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 4(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 4(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 2(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 5(ms)
Tempo: 4(ms)
Tempo: 3(ms)
Tempo: 5(ms)
Tempo: 4(ms)
Tempo: 3(ms)
Tempo: 2(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 4(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 5(ms)
Tempo: 4(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
Tempo: 3(ms)
